Price,Model Year,Engine Type,Engine Capacity,Assembly,Body Type,Transmission Type,Registration Status,Car Name
1550000,2013,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
910000,2004,Petrol,1500,Local,Sedan,Manual,Registered,Honda Civic
2100000,2013,Petrol,1800,Local,Sedan,Automatic,Registered,Honda Civic
2800000,2019,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
1540000,2011,Petrol,1300,Local,Sedan,Manual,Registered,Honda City
1900000,2012,Petrol,1800,Local,Sedan,Automatic,Registered,Honda Civic
685000,2015,Petrol,800,Local,Van,Manual,Registered,Suzuki Bolan
640000,2007,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Cultus
2070000,2013,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
3150000,2016,Petrol,1800,Local,Sedan,Automatic,Registered,Honda Civic
3320000,2016,Petrol,1500,Imported,Sedan,Automatic,Registered,Toyota Corolla
1000000,1990,Petrol,1500,Local,Sedan,Manual,Registered,Toyota Corolla
1150000,1999,Petrol,1000,Imported,Hatchback,Automatic,Registered,Toyota Vitz
2350000,2017,Petrol,1000,Imported,Hatchback,Automatic,Un-Registered,Toyota Passo
2000000,2014,Petrol,1000,Imported,Hatchback,Automatic,Registered,Toyota Vitz
700000,2003,Petrol,1300,Imported,Sedan,Manual,Registered,Suzuki Baleno
33000000,2015,Petrol,4608,Imported,SUV,Automatic,Un-Registered,Toyota Land
1700000,2010,Petrol,1800,Local,Sedan,Manual,Registered,Toyota Corolla
2400000,2016,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
1420000,2017,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Wagon
1175000,2004,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
2775000,2016,Petrol,1800,Local,Sedan,Automatic,Registered,Toyota Corolla
1540000,2017,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Wagon
1300000,2013,Petrol,1300,Local,Hatchback,Manual,Registered,Suzuki Swift
1050000,1997,Petrol,1600,Local,Sedan,Automatic,Registered,Toyota Corolla
950000,2004,Petrol,1500,Local,Sedan,Automatic,Registered,Honda Civic
570000,2003,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
2800000,2014,Petrol,1500,Imported,Sedan,Automatic,Registered,Toyota Corolla
1385000,2017,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Wagon
1750000,2007,Petrol,1500,Imported,Sedan,Automatic,Registered,Toyota Prius
2100000,2012,Petrol,1800,Local,Sedan,Automatic,Registered,Honda Civic
1750000,2012,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
3150000,2017,Petrol,1800,Local,Sedan,Automatic,Registered,Toyota Corolla
635000,2008,Petrol,800,Local,Mini Van,Manual,Registered,Suzuki Bolan
250000,1990,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Khyber
1030000,2019,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
1875000,2014,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
3900000,2014,Petrol,1500,Imported,Cross Over,Automatic,Registered,Honda Vezel
1375000,2009,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
1300000,2017,Petrol,660,Imported,Hatchback,Automatic,Registered,Suzuki Wagon
15500000,2009,Diesel,4600,Imported,SUV,Automatic,Registered,Toyota Land
980000,2005,Petrol,1300,Local,Sedan,Manual,Registered,Honda City
1450000,2014,Petrol,1300,Local,Hatchback,Manual,Registered,Suzuki Swift
2700000,1997,Diesel,3000,Imported,SUV,Automatic,Registered,Toyota Prado
790000,2008,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Cultus
390000,2011,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
2450000,2017,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
450000,2003,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
